feature,rev_lgb,rev_cat,cog_lgb,cog_cat,total
promo_spring_sale_since,0.0002170113436632224,0.0005526565905688835,0.00035598227648939444,0.000933195788331268,0.0020588459990527686
promo_spring_sale_until,0.0005663809607450069,0.0003831644377055287,0.00041068073565591224,0.0005543658459218848,0.0019145919800283326
promo_mid_year_until,0.0011846338987511389,0.0,0.0005419687202201682,0.00015361237763063614,0.0018802149966019434
promo_fall_launch,5.3217339497804905e-05,0.00022635161475732162,0.0015870941562544873,0.0,0.0018666631105096138
promo_rural_special_until,0.0003873401878839215,0.000549450372704,0.0003333519040088423,0.0005495432375473859,0.0018196857021441498
promo_rural_special_since,0.0002845850706778966,0.00042769668528611456,0.000436773766618752,0.0001763880921574396,0.0013254436147402027
has_streetwear_promo,5.990712294038389e-05,0.000835556850815627,5.7582430930004996e-05,0.0,0.000953046404686016
promo_urban_blowout_disc,3.051065397464726e-05,0.0002896915402125374,0.0,0.0006205268568517251,0.0009407290510389098
promo_fall_launch_disc,0.0,0.0,0.00035940451661448537,0.00027924288028740777,0.0006386473969018931
tet_in_21,0.00021296556064042532,0.0,0.0003178139870404417,0.0,0.000530779547680867
tet_in_7,4.099617628033764e-05,0.0002424168784271629,6.0955217217594045e-05,0.0001749239205022662,0.0005192921924273607
promo_year_end,4.7184276606652406e-05,0.00045126544124009325,1.9282718307107533e-05,0.0,0.0005177324361538532
tet_before_7,0.0001812606252337119,4.375202633276381e-05,0.000227958454738723,0.0,0.00045297110630519873
promo_rural_special,7.133161421045635e-05,0.00013335541058708575,5.787656027425875e-05,8.019627498432558e-05,0.00034275986005612646
tet_after_7,0.00015214439336987755,0.0,0.0001776694675296439,0.0,0.00032981386089952147
promo_year_end_disc,0.0,0.0,0.0,0.0002580543729702773,0.0002580543729702773
is_last1,4.82227311669649e-05,0.0,9.339132669117287e-05,7.42730396600015e-05,0.0002158870975181393
promo_spring_sale_disc,0.0,0.0,6.9071681121888215e-06,0.0001539028889420102,0.000160810057054199
has_outdoor_promo,0.0,5.612128787544222e-05,0.0,8.756662940937761e-05,0.00014368791728481983
hol_black_friday,0.0,0.0,0.0,5.0524680373443626e-05,5.0524680373443626e-05
